"ref_area","ref_area.label","source","source.label","indicator","indicator.label","sex","sex.label","classif1","classif1.label","time","obs_value","obs_status","obs_status.label","note_classif","note_classif.label","note_indicator","note_indicator.label","note_source","note_source.label"
"AGO","Angola","BA:13951","LFS - Employment Survey","EAP_TEAP_SEX_AGE_NB","Labour force by sex and age (thousands)","SEX_T","Total","AGE_YTHADULT_YGE15","Age (Youth, adults): 15+","2025",15606.68,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EAP_TEAP_SEX_AGE_NB","Labour force by sex and age (thousands)","SEX_T","Total","AGE_YTHADULT_Y15-64","Age (Youth, adults): 15-64","2025",15005.434,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EAP_TEAP_SEX_AGE_NB","Labour force by sex and age (thousands)","SEX_T","Total","AGE_YTHADULT_Y15-24","Age (Youth, adults): 15-24","2025",4076.698,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EAP_TEAP_SEX_AGE_NB","Labour force by sex and age (thousands)","SEX_T","Total","AGE_YTHADULT_YGE25","Age (Youth, adults): 25+","2025",11529.982,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EAP_TEAP_SEX_AGE_NB","Labour force by sex and age (thousands)","SEX_M","Male","AGE_YTHADULT_YGE15","Age (Youth, adults): 15+","2025",7608.604,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EAP_TEAP_SEX_AGE_NB","Labour force by sex and age (thousands)","SEX_M","Male","AGE_YTHADULT_Y15-64","Age (Youth, adults): 15-64","2025",7338.954,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EAP_TEAP_SEX_AGE_NB","Labour force by sex and age (thousands)","SEX_M","Male","AGE_YTHADULT_Y15-24","Age (Youth, adults): 15-24","2025",1981.37,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EAP_TEAP_SEX_AGE_NB","Labour force by sex and age (thousands)","SEX_M","Male","AGE_YTHADULT_YGE25","Age (Youth, adults): 25+","2025",5627.234,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EAP_TEAP_SEX_AGE_NB","Labour force by sex and age (thousands)","SEX_F","Female","AGE_YTHADULT_YGE15","Age (Youth, adults): 15+","2025",7998.076,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EAP_TEAP_SEX_AGE_NB","Labour force by sex and age (thousands)","SEX_F","Female","AGE_YTHADULT_Y15-64","Age (Youth, adults): 15-64","2025",7666.479,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
