"ref_area","ref_area.label","source","source.label","indicator","indicator.label","sex","sex.label","classif1","classif1.label","time","obs_value","obs_status","obs_status.label","note_classif","note_classif.label","note_indicator","note_indicator.label","note_source","note_source.label"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_OCU_NB","Employment by sex and occupation (thousands)","SEX_T","Total","OCU_SKILL_TOTAL","Occupation (Skill level): Total","2025",13984.984,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_OCU_NB","Employment by sex and occupation (thousands)","SEX_T","Total","OCU_SKILL_L3-4","Occupation (Skill level): Skill levels 3 and 4 ~ high","2025",1250.263,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_OCU_NB","Employment by sex and occupation (thousands)","SEX_T","Total","OCU_SKILL_L2","Occupation (Skill level): Skill level 2 ~ medium","2025",11565.735,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_OCU_NB","Employment by sex and occupation (thousands)","SEX_T","Total","OCU_SKILL_L1","Occupation (Skill level): Skill level 1 ~ low","2025",800.49,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_OCU_NB","Employment by sex and occupation (thousands)","SEX_T","Total","OCU_SKILL_X","Occupation (Skill level): Not elsewhere classified","2025",368.497,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_OCU_NB","Employment by sex and occupation (thousands)","SEX_M","Male","OCU_SKILL_TOTAL","Occupation (Skill level): Total","2025",6834.698,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_OCU_NB","Employment by sex and occupation (thousands)","SEX_M","Male","OCU_SKILL_L3-4","Occupation (Skill level): Skill levels 3 and 4 ~ high","2025",844.764,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_OCU_NB","Employment by sex and occupation (thousands)","SEX_M","Male","OCU_SKILL_L2","Occupation (Skill level): Skill level 2 ~ medium","2025",5507.704,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_OCU_NB","Employment by sex and occupation (thousands)","SEX_M","Male","OCU_SKILL_L1","Occupation (Skill level): Skill level 1 ~ low","2025",259.121,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_OCU_NB","Employment by sex and occupation (thousands)","SEX_M","Male","OCU_SKILL_X","Occupation (Skill level): Not elsewhere classified","2025",223.109,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","EMP_TEMP_SEX_OCU_NB","Employment by sex and occupation (thousands)","SEX_F","Female","OCU_SKILL_TOTAL","Occupation (Skill level): Total","2025",7150.286,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
