"ref_area","ref_area.label","source","source.label","indicator","indicator.label","sex","sex.label","classif1","classif1.label","time","obs_value","obs_status","obs_status.label","note_classif","note_classif.label","note_indicator","note_indicator.label","note_source","note_source.label"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_T","Total","AGE_YTHADULT_YGE15","Age (Youth, adults): 15+","2025",10.391,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_T","Total","AGE_YTHADULT_Y15-64","Age (Youth, adults): 15-64","2025",10.779,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_T","Total","AGE_YTHADULT_Y15-24","Age (Youth, adults): 15-24","2025",18.562,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_T","Total","AGE_YTHADULT_YGE25","Age (Youth, adults): 25+","2025",7.502,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_M","Male","AGE_YTHADULT_YGE15","Age (Youth, adults): 15+","2025",10.172,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_M","Male","AGE_YTHADULT_Y15-64","Age (Youth, adults): 15-64","2025",10.52,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_M","Male","AGE_YTHADULT_Y15-24","Age (Youth, adults): 15-24","2025",20.238,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_M","Male","AGE_YTHADULT_YGE25","Age (Youth, adults): 25+","2025",6.627,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_F","Female","AGE_YTHADULT_YGE15","Age (Youth, adults): 15+","2025",10.6,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_F","Female","AGE_YTHADULT_Y15-64","Age (Youth, adults): 15-64","2025",11.026,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_F","Female","AGE_YTHADULT_Y15-24","Age (Youth, adults): 15-24","2025",16.978,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_F","Female","AGE_YTHADULT_YGE25","Age (Youth, adults): 25+","2025",8.336,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_T","Total","AGE_AGGREGATE_YGE15","Age (Aggregate bands): 15+","2025",10.391,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_T","Total","AGE_AGGREGATE_Y15-24","Age (Aggregate bands): 15-24","2025",18.562,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_T","Total","AGE_AGGREGATE_Y25-54","Age (Aggregate bands): 25-54","2025",8.675,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_T","Total","AGE_AGGREGATE_Y55-64","Age (Aggregate bands): 55-64","2025",0.907,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_T","Total","AGE_AGGREGATE_YGE65","Age (Aggregate bands): 65+","2025",0.718,"U","Unreliable",,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
"AGO","Angola","BA:13951","LFS - Employment Survey","UNE_DEAP_SEX_AGE_RT","Unemployment rate by sex and age (%)","SEX_M","Male","AGE_AGGREGATE_YGE15","Age (Aggregate bands): 15+","2025",10.172,,,,,,,"R1:3513","Repository: ILO-STATISTICS - Micro data processing"
