"id","indicator","indicator.label","freq","freq.label","rep_var","rep_var.label","classification","data.start","data.end","last.update","n.records","n.records.all","n.ref_area","with.region","subject","subject.label","database","database.label"
"SDG_0111_SEX_AGE_RT_A","SDG_0111_SEX_AGE_RT","SDG indicator 1.1.1 - Working poverty rate by sex and age (percentage of employed living below US$3 PPP) (%)","A","Annual","SDG_0111_RT","Working poverty rate (SDG 1.1.1)","SEX,AGE",2000,2025,"03/12/2025 18:32:36",42030,42030,193,"Y","POV","Working poverty","ILOSDG","SDG Labour Market Indicators (ILOSDG)"
"SDG_0131_SEX_SOC_RT_A","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems by sex and function (%)","A","Annual","SDG_0131_RT","Social protection coverage rate (SDG 1.3.1)","SEX,SOC",2000,2025,"04/05/2026 11:49:21",36308,36308,303,"Y","SOC","Social protection","ILOSDG","SDG Labour Market Indicators (ILOSDG)"
"SDG_0552_NOC_RT_A","SDG_0552_NOC_RT","SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%)","A","Annual","SDG_0552_RT","Proportion of women in management (SDG 5.5.2)",,2000,2025,"08/05/2026 07:06:07",1797,1954,158,,"EMP","Employment","ILOSDG","SDG Labour Market Indicators (ILOSDG)"
"SDG_T552_NOC_RT_A","SDG_T552_NOC_RT","SDG indicator 5.5.2 - Proportion of women in managerial positions (%)","A","Annual","SDG_T552_RT","Proportion of women in management (SDG 5.5.2)",,2000,2025,"08/05/2026 07:06:07",4827,5168,286,"Y","EMP","Employment","ILOSDG","SDG Labour Market Indicators (ILOSDG)"
"SDG_B552_NOC_RT_A","SDG_B552_NOC_RT","SDG indicator 5.5.2 - Proportion of women in senior and middle management positions -- 19th ICLS (%)","A","Annual","SDG_B552_RT","Proportion of women in management (SDG 5.5.2)",,2012,2025,"08/05/2026 07:06:07",597,635,102,,"EMP","Employment","ILOSDG","SDG Labour Market Indicators (ILOSDG)"
"SDG_U552_NOC_RT_A","SDG_U552_NOC_RT","SDG indicator 5.5.2 - Proportion of women in managerial positions -- 19th ICLS (%)","A","Annual","SDG_U552_RT","Proportion of women in management (SDG 5.5.2)",,2006,2025,"08/05/2026 07:06:07",770,879,119,,"EMP","Employment","ILOSDG","SDG Labour Market Indicators (ILOSDG)"
"SDG_0821_NOC_RT_A","SDG_0821_NOC_RT","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2015 US $) (%)","A","Annual","SDG_0821_RT","Labour productivity growth rate (SDG 8.2.1)",,2000,2027,"20/02/2026 17:50:06",7704,7704,276,"Y","LPY","Labour productivity","ILOSDG","SDG Labour Market Indicators (ILOSDG)"
"SDG_B821_NOC_RT_A","SDG_B821_NOC_RT","SDG indicator 8.2.1 - Annual growth rate of output per worker (GDP constant 2021 international $ at PPP) (%)","A","Annual","SDG_B821_RT","Labour productivity growth rate (SDG 8.2.1)",,2000,2027,"20/02/2026 08:49:06",7704,7704,276,"Y","LPY","Labour productivity","ILOSDG","SDG Labour Market Indicators (ILOSDG)"
"SDG_0831_SEX_ECO_RT_A","SDG_0831_SEX_ECO_RT","SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and economic activity (%)","A","Annual","SDG_0831_RT","Informal employment rate (SDG 8.3.1)","SEX,ECO",2000,2027,"08/05/2026 07:06:07",55160,57646,231,"Y","IFL","Informal economy","ILOSDG","SDG Labour Market Indicators (ILOSDG)"
"SDG_B831_SEX_ECO_RT_A","SDG_B831_SEX_ECO_RT","SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and economic activity -- 19th ICLS (%)","A","Annual","SDG_B831_RT","Informal employment rate (SDG 8.3.1)","SEX,ECO",2014,2025,"08/05/2026 07:06:07",18930,19734,95,,"IFL","Informal economy","ILOSDG","SDG Labour Market Indicators (ILOSDG)"
"SDG_0851_SEX_OCU_NB_A","SDG_0851_SEX_OCU_NB","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (local currency)","A","Annual","SDG_0851_NB","Average hourly earnings (SDG 8.5.1)","SEX,OCU",2000,2025,"02/05/2026 08:26:05",46056,48243,137,,"EAR","Earnings","ILOSDG","SDG Labour Market Indicators (ILOSDG)"
"SDG_0852_SEX_AGE_RT_A","SDG_0852_SEX_AGE_RT","SDG indicator 8.5.2 - Unemployment rate by sex and age (%)","A","Annual","SDG_0852_RT","Unemployment rate (SDG 8.5.2)","SEX,AGE",2000,2027,"08/05/2026 07:06:07",48101,51674,308,"Y","UNE","Unemployment","ILOSDG","SDG Labour Market Indicators (ILOSDG)"
"SDG_B852_SEX_AGE_RT_A","SDG_B852_SEX_AGE_RT","SDG indicator 8.5.2 - Unemployment rate by sex and age -- 19th ICLS (%)","A","Annual","SDG_B852_RT","Unemployment rate (SDG 8.5.2)","SEX,AGE",2014,2025,"08/05/2026 07:06:07",7432,8512,131,,"UNE","Unemployment","ILOSDG","SDG Labour Market Indicators (ILOSDG)"
