Economy_Code,Economy_Label,Economy_IsTarget,Economy_ValidFrom,Economy_ValidTo,Economy_Level,Economy_Hidden,Economy_Expand,Economy_Note,Economy_Order,Year,Flow_Code,Flow_Label,Flow_Hidden,Flow_Note,Flow_Order,Category_Code,Category_Label,Category_Level,Category_Hidden,Category_Expand,Category_Note,Category_Order,M5011_Value,M5011_Footnote_Code,M5011_Footnote_Text,M5011_MissingValue_Code,M5011_MissingValue_Label,M0100_Value,M0100_Footnote_Code,M0100_Footnote_Text,M0100_MissingValue_Code,M0100_MissingValue_Label,M5022_Value,M5022_Footnote_Code,M5022_Footnote_Text,M5022_MissingValue_Code,M5022_MissingValue_Label,M4024_Value,M4024_Footnote_Code,M4024_Footnote_Text,M4024_MissingValue_Code,M4024_MissingValue_Label,M5025_Value,M5025_Footnote_Code,M5025_Footnote_Text,M5025_MissingValue_Code,M5025_MissingValue_Label
024,"Angola",True,1940,2102,5,True,True,,38,2005,01,"Imports",False,,2,SH,"Charges for the use of intellectual property n.i.e.",4,False,True,"Charges for the use of intellectual property n.i.e. include: 
(a) charges for the use of proprietary rights (such as patents, trademarks, copyrights, industrial processes and designs including trade secrets, franchises) and
(b) charges for licenses to reproduce or distribute (or both) intellectual property embodied in produced originals or prototypes (such as copyrights on books and manuscripts, computer software, cinematographic works, and sound recordings) and related rights (such as for live performances and television, cable, or satellite broadcast).",90,0.0017950203080922792,0,,,,3378446.38,0,,,,0.04974900232863377,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2005,02,"Exports",False,,1,SH,"Charges for the use of intellectual property n.i.e.",4,False,True,"Charges for the use of intellectual property n.i.e. include: 
(a) charges for the use of proprietary rights (such as patents, trademarks, copyrights, industrial processes and designs including trade secrets, franchises) and
(b) charges for licenses to reproduce or distribute (or both) intellectual property embodied in produced originals or prototypes (such as copyrights on books and manuscripts, computer software, cinematographic works, and sound recordings) and related rights (such as for live performances and television, cable, or satellite broadcast).",90,0.02855173476932137,0,,,,49430571.11,0,,,,27.954474887740492,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2006,01,"Imports",False,,2,SH,"Charges for the use of intellectual property n.i.e.",4,False,True,"Charges for the use of intellectual property n.i.e. include: 
(a) charges for the use of proprietary rights (such as patents, trademarks, copyrights, industrial processes and designs including trade secrets, franchises) and
(b) charges for licenses to reproduce or distribute (or both) intellectual property embodied in produced originals or prototypes (such as copyrights on books and manuscripts, computer software, cinematographic works, and sound recordings) and related rights (such as for live performances and television, cable, or satellite broadcast).",90,0.0006593376754540118,0,,,,1366548.48,0,,,,0.018193514210247178,0,,,,-59.550979169306814,0,,,,,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2006,02,"Exports",False,,1,SH,"Charges for the use of intellectual property n.i.e.",4,False,True,"Charges for the use of intellectual property n.i.e. include: 
(a) charges for the use of proprietary rights (such as patents, trademarks, copyrights, industrial processes and designs including trade secrets, franchises) and
(b) charges for licenses to reproduce or distribute (or both) intellectual property embodied in produced originals or prototypes (such as copyrights on books and manuscripts, computer software, cinematographic works, and sound recordings) and related rights (such as for live performances and television, cable, or satellite broadcast).",90,0.7119220274205701,0,,,,1339588441.64,0,,,,90.25457811622819,0,,,,,,,-,"Not publishable",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2007,01,"Imports",False,,2,SH,"Charges for the use of intellectual property n.i.e.",4,False,True,"Charges for the use of intellectual property n.i.e. include: 
(a) charges for the use of proprietary rights (such as patents, trademarks, copyrights, industrial processes and designs including trade secrets, franchises) and
(b) charges for licenses to reproduce or distribute (or both) intellectual property embodied in produced originals or prototypes (such as copyrights on books and manuscripts, computer software, cinematographic works, and sound recordings) and related rights (such as for live performances and television, cable, or satellite broadcast).",90,0.0004931471317904502,0,,,,1173129.46,0,,,,0.009278704949965796,0,,,,-14.1538352155644,0,,,,,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2007,02,"Exports",False,,1,SH,"Charges for the use of intellectual property n.i.e.",4,False,True,"Charges for the use of intellectual property n.i.e. include: 
(a) charges for the use of proprietary rights (such as patents, trademarks, copyrights, industrial processes and designs including trade secrets, franchises) and
(b) charges for licenses to reproduce or distribute (or both) intellectual property embodied in produced originals or prototypes (such as copyrights on books and manuscripts, computer software, cinematographic works, and sound recordings) and related rights (such as for live performances and television, cable, or satellite broadcast).",90,0.005455943489720465,0,,,,12021694.12,0,,,,3.8690817119046135,0,,,,-99.10258302129851,0,,,,,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2005,01,"Imports",False,,2,SF,"Insurance and pension services",4,False,True,"Insurance and pension services include services of providing life insurance and annuities, nonlife insurance, reinsurance, freight insurance, pensions, standardized guarantees, and auxiliary services to insurance, pension schemes, and standardized guarantee schemes.",71,0.09785520116851426,0,,,,103448288.01,0,,,,1.5233182777649017,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2005,02,"Exports",False,,1,SF,"Insurance and pension services",4,False,True,"Insurance and pension services include services of providing life insurance and annuities, nonlife insurance, reinsurance, freight insurance, pensions, standardized guarantees, and auxiliary services to insurance, pension schemes, and standardized guarantee schemes.",71,0,0,,,,0,0,,,,0,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2006,01,"Imports",False,,2,SF,"Insurance and pension services",4,False,True,"Insurance and pension services include services of providing life insurance and annuities, nonlife insurance, reinsurance, freight insurance, pensions, standardized guarantees, and auxiliary services to insurance, pension schemes, and standardized guarantee schemes.",71,0.2262369594812124,0,,,,296921201.27,0,,,,3.9530541167697235,0,,,,187.02379418912915,0,,,,,,,..,"No value reported or collected"
024,"Angola",True,1940,2102,5,True,True,,38,2006,02,"Exports",False,,1,SF,"Insurance and pension services",4,False,True,"Insurance and pension services include services of providing life insurance and annuities, nonlife insurance, reinsurance, freight insurance, pensions, standardized guarantees, and auxiliary services to insurance, pension schemes, and standardized guarantee schemes.",71,0,0,,,,0,0,,,,0,0,,,,,,,..,"No value reported or collected",,,,..,"No value reported or collected"
