type,area,folder,periodicity,title,source_list,source_category,extension,size_bytes,rows,period_start,period_end,source_url,local_path,notes
file,Estatísticas Externas,Anual,Anual,Activos de Reserva Oficiais e Outros Activos em ME 2011 - 2025,Estatística,Estatísticas Externas Anual,xlsx,82104,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Anual\Activos de Reserva Oficiais e Outros Activos em ME 2011 - 2025.xlsx,application/octet-stream
file,Estatísticas Externas,Anual,Anual,Balança de Pagamentos 1990 - 2025 - Apresentação Analítica,Estatística,Estatísticas Externas Anual,xlsx,74161,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Anual\Balança de Pagamentos 1990 - 2025 - Apresentação Analítica.xlsx,application/octet-stream
file,Estatísticas Externas,Anual,Anual,Balança de Pagamentos 2012-2025 - Apresentação Padrão,Estatística,Estatísticas Externas Anual,xlsx,62103,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Anual\Balança de Pagamentos 2012-2025 - Apresentação Padrão.xlsx,application/octet-stream
file,Estatísticas Externas,Anual,Anual,Destino das Exportações de Petróleo Bruto 1998-2025,Estatística,Estatísticas Externas Anual,xls,62464,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Anual\Destino das Exportações de Petróleo Bruto 1998-2025.xls,application/octet-stream
file,Estatísticas Externas,Anual,Anual,Dívida Externa Bruta Total 2012-2025,Estatística,Estatísticas Externas Anual,xlsx,46359,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Anual\Dívida Externa Bruta Total 2012-2025.xlsx,application/octet-stream
file,Estatísticas Externas,Anual,Anual,Exportações por Categoria 1990-2025,Estatística,Estatísticas Externas Anual,xls,102912,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Anual\Exportações por Categoria 1990-2025.xls,application/octet-stream
file,Estatísticas Externas,Anual,Anual,Importação por Categoria de Produtos 2003 - 2025,Estatística,Estatísticas Externas Anual,xlsx,45742,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Anual\Importação por Categoria de Produtos 2003 - 2025.xlsx,application/octet-stream
file,Estatísticas Externas,Anual,Anual,Importação por Classificação Económica 1990-2025,Estatística,Estatísticas Externas Anual,xls,67584,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Anual\Importação por Classificação Económica 1990-2025.xls,application/octet-stream
file,Estatísticas Externas,Anual,Anual,Investimento Directo Estrangeiro por Sector 2005 - 2025,Estatística,Estatísticas Externas Anual,xlsx,42380,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Anual\Investimento Directo Estrangeiro por Sector 2005 - 2025.xlsx,application/octet-stream
file,Estatísticas Externas,Anual,Anual,Posição do Investimento Internacional (Apresentação Analítica) 2003 - 2025,Estatística,Estatísticas Externas Anual,xlsx,51707,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Anual\Posição do Investimento Internacional (Apresentação Analítica) 2003 - 2025.xlsx,application/octet-stream
file,Estatísticas Externas,Anual,Anual,Posição do Investimento Internacional (Apresentação Padrão) 2012-2025,Estatística,Estatísticas Externas Anual,xlsx,53192,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Anual\Posição do Investimento Internacional (Apresentação Padrão) 2012-2025.xlsx,application/octet-stream
file,Estatísticas Externas,Anual,Anual,Posição do Investimento Internacional (Integrada) 2012-2025,Estatística,Estatísticas Externas Anual,xlsx,245620,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Anual\Posição do Investimento Internacional (Integrada) 2012-2025.xlsx,application/octet-stream
file,Estatísticas Externas,Anual,Anual,Principais Indicadores Externos 1990 - 2025,Estatística,Estatísticas Externas Anual,xlsx,49434,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Anual\Principais Indicadores Externos 1990 - 2025.xlsx,application/octet-stream
file,Estatísticas Externas,Anual,Anual,Principais Países de Procedência das Importações 2003-2025,Estatística,Estatísticas Externas Anual,xls,80896,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Anual\Principais Países de Procedência das Importações 2003-2025.xls,application/octet-stream
file,Estatísticas Externas,Anual,Anual,Stock da Dívida Externa Pública por Credor 2002-2025,Estatística,Estatísticas Externas Anual,xlsx,40429,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Anual\Stock da Dívida Externa Pública por Credor 2002-2025.xlsx,application/octet-stream
file,Estatísticas Externas,Anual,Anual,Stock da Dívida Externa Pública por País 2009-2025,Estatística,Estatísticas Externas Anual,xlsx,42774,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Anual\Stock da Dívida Externa Pública por País 2009-2025.xlsx,application/octet-stream
file,Estatísticas Externas,Trimestral,Trimestral,Activos de Reserva Oficiais e Outros Activos em ME 2012 - 2025,Estatística,Estatísticas Externas Trimestral,xlsx,94032,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Trimestral\Activos de Reserva Oficiais e Outros Activos em ME 2012 - 2025.xlsx,application/octet-stream
file,Estatísticas Externas,Trimestral,Trimestral,Balança de Pagamentos 2012 - 2025 - Apresentação Analítica,Estatística,Estatísticas Externas Trimestral,xlsx,88019,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Trimestral\Balança de Pagamentos 2012 - 2025 - Apresentação Analítica.xlsx,application/octet-stream
file,Estatísticas Externas,Trimestral,Trimestral,Balança de Pagamentos 2012-2025 -  Apresentação Padrão,Estatística,Estatísticas Externas Trimestral,xlsx,105882,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Trimestral\Balança de Pagamentos 2012-2025 - Apresentação Padrão.xlsx,application/octet-stream
file,Estatísticas Externas,Trimestral,Trimestral,Destino das Exportações de Petróleo Bruto 2012-2025,Estatística,Estatísticas Externas Trimestral,xlsx,45403,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Trimestral\Destino das Exportações de Petróleo Bruto 2012-2025.xlsx,application/octet-stream
file,Estatísticas Externas,Trimestral,Trimestral,Dívida Externa Bruta Total 2012-2025,Estatística,Estatísticas Externas Trimestral,xlsx,112803,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Trimestral\Dívida Externa Bruta Total 2012-2025.xlsx,application/octet-stream
file,Estatísticas Externas,Trimestral,Trimestral,Exportações por Categoria 2012-2025,Estatística,Estatísticas Externas Trimestral,xlsx,66674,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Trimestral\Exportações por Categoria 2012-2025.xlsx,application/octet-stream
file,Estatísticas Externas,Trimestral,Trimestral,Importação por Categoria de Produtos 2018- 2025,Estatística,Estatísticas Externas Trimestral,xlsx,34602,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Trimestral\Importação por Categoria de Produtos 2018- 2025.xlsx,application/octet-stream
file,Estatísticas Externas,Trimestral,Trimestral,Importação por Classificação Económica  2012-2025,Estatística,Estatísticas Externas Trimestral,xlsx,30215,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Trimestral\Importação por Classificação Económica 2012-2025.xlsx,application/octet-stream
file,Estatísticas Externas,Trimestral,Trimestral,Investimento Directo Estrangeiro por Sector 2012 - 2025,Estatística,Estatísticas Externas Trimestral,xlsx,50891,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Trimestral\Investimento Directo Estrangeiro por Sector 2012 - 2025.xlsx,application/octet-stream
file,Estatísticas Externas,Trimestral,Trimestral,Posição do Investimento Internacional (Apresentação Analítica)  2012 -  2025,Estatística,Estatísticas Externas Trimestral,xlsx,95018,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Trimestral\Posição do Investimento Internacional (Apresentação Analítica) 2012 - 2025.xlsx,application/octet-stream
file,Estatísticas Externas,Trimestral,Trimestral,Posição do Investimento Internacional (Apresentação Padrão) 2012-2025,Estatística,Estatísticas Externas Trimestral,xlsx,108301,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Trimestral\Posição do Investimento Internacional (Apresentação Padrão) 2012-2025.xlsx,application/octet-stream
file,Estatísticas Externas,Trimestral,Trimestral,Posição do Investimento Internacional (Integrada) 2012-2025,Estatística,Estatísticas Externas Trimestral,xlsx,451598,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Trimestral\Posição do Investimento Internacional (Integrada) 2012-2025.xlsx,application/octet-stream
file,Estatísticas Externas,Trimestral,Trimestral,Principais Indicadores Externos 2012- 2025,Estatística,Estatísticas Externas Trimestral,xlsx,87159,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Trimestral\Principais Indicadores Externos 2012- 2025.xlsx,application/octet-stream
file,Estatísticas Externas,Trimestral,Trimestral,Principais Países de Procedência das Importações 2012-2025,Estatística,Estatísticas Externas Trimestral,xlsx,59689,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Trimestral\Principais Países de Procedência das Importações 2012-2025.xlsx,application/octet-stream
file,Estatísticas Externas,Trimestral,Trimestral,Stock da Dívida Externa Pública por Credor 2013-2025,Estatística,Estatísticas Externas Trimestral,xlsx,51322,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Trimestral\Stock da Dívida Externa Pública por Credor 2013-2025.xlsx,application/octet-stream
file,Estatísticas Externas,Trimestral,Trimestral,Stock da Dívida Externa Pública por País 2012 - 2025,Estatística,Estatísticas Externas Trimestral,xlsx,59832,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Trimestral\Stock da Dívida Externa Pública por País 2012 - 2025.xlsx,application/octet-stream
file,Estatísticas Externas,Mensal,Mensal,Compra de Divisas pelos Bancos Comerciais,Estatística,Estatísticas Externas Mensais,xlsx,43015,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Externas\Mensal\Compra de Divisas pelos Bancos Comerciais.xlsx,application/octet-stream
file,Estatísticas Monetárias e Financeiras,Nova Série,Não especificada no portal,Agregados Monetários,Estatística,Estatísticas Monetárias e Financeira,xls,133120,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Monetárias e Financeiras\Nova Série\Agregados Monetários.xls,application/octet-stream
file,Estatísticas Monetárias e Financeiras,Nova Série,Não especificada no portal,Balanço das Outras Sociedades Financeiras,Estatística,Estatísticas Monetárias e Financeira,xls,144896,,,,https://bna.ao/#/pt,M1-MAcro\BNA\Consultar Dados\Estatísticas Monetárias e Financeiras\Nova Série\Balanço das OSF.xls,application/octet-stream
