area,site_folder,periodicity,filename,extension,size_bytes,site_filepath,source_page,local_path
Comércio Internacional,Comércio Internacional/Anual,Anual,Comercio Externo de Bens por Grandes Categorias Económicas.xlsx,xlsx,20795,Comércio Internacional/Anual/Comercio Externo de Bens por Grandes Categorias Económicas.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ-auywtdDQUlZO1LeGtXwhNDXHHJtIhIn2opL6MY3FI2HszusYUheTjAelFzhmQ_Bsjuv4aWulrTictdrI0HKAEu2g3NxFT_uIsD_R1xpBNszTpt92halH3lGxep54qv0E,INE\Comércio Internacional\Anual\Comercio Externo de Bens por Grandes Categorias Económicas.xlsx
Comércio Internacional,Comércio Internacional/Anual,Anual,Comercio Externo de Bens por Países Parceiros.xlsx,xlsx,142574,Comércio Internacional/Anual/Comercio Externo de Bens por Países Parceiros.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ-auywtdDQUlZO1LeGtXwhNDXHHJtIhIn2opL6MY3FI2HszusYUheTjAelFzhmQ_Bsjuv4aWulrTictdrI0HKAEu2g3NxFT_uIsD_R1xpBNszTpt92halH3lGxep54qv0E,INE\Comércio Internacional\Anual\Comercio Externo de Bens por Países Parceiros.xlsx
Comércio Internacional,Comércio Internacional/Anual,Anual,Comércio Externos de Bens por Categorias de Produtos.xlsx,xlsx,28835,Comércio Internacional/Anual/Comércio Externos de Bens por Categorias de Produtos.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ-auywtdDQUlZO1LeGtXwhNDXHHJtIhIn2opL6MY3FI2HszusYUheTjAelFzhmQ_Bsjuv4aWulrTictdrI0HKAEu2g3NxFT_uIsD_R1xpBNszTpt92halH3lGxep54qv0E,INE\Comércio Internacional\Anual\Comércio Externos de Bens por Categorias de Produtos.xlsx
Comércio Internacional,Comércio Internacional/Trimestral,Trimestral,Comercio Externo de Bens por Grandes Categorias Económicas.xlsx,xlsx,50310,Comércio Internacional/Trimestral/Comercio Externo de Bens por Grandes Categorias Económicas.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ8qP9KcV50GuqgcY8yHtel2MVVO4QUyALFt6VQNZFyjTt8UkP8yKdElfer_XNEfh8AXhAoDmDuWv3T1hLRpWTtxUrCeuxxXelBdlFMqHym2tP2VLsfBeSA0Bq4RBiAro3k93MTMC3QxarTsFtaG4jXq,INE\Comércio Internacional\Trimestral\Comercio Externo de Bens por Grandes Categorias Económicas.xlsx
Comércio Internacional,Comércio Internacional/Trimestral,Trimestral,Comercio Externo de Bens por Países Parceiros.xlsx,xlsx,599922,Comércio Internacional/Trimestral/Comercio Externo de Bens por Países Parceiros.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ8qP9KcV50GuqgcY8yHtel2MVVO4QUyALFt6VQNZFyjTt8UkP8yKdElfer_XNEfh8AXhAoDmDuWv3T1hLRpWTtxUrCeuxxXelBdlFMqHym2tP2VLsfBeSA0Bq4RBiAro3k93MTMC3QxarTsFtaG4jXq,INE\Comércio Internacional\Trimestral\Comercio Externo de Bens por Países Parceiros.xlsx
Comércio Internacional,Comércio Internacional/Trimestral,Trimestral,Comércio Externo de Bens por Categorias Produtos.xlsx,xlsx,88969,Comércio Internacional/Trimestral/Comércio Externo de Bens por Categorias Produtos.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ8qP9KcV50GuqgcY8yHtel2MVVO4QUyALFt6VQNZFyjTt8UkP8yKdElfer_XNEfh8AXhAoDmDuWv3T1hLRpWTtxUrCeuxxXelBdlFMqHym2tP2VLsfBeSA0Bq4RBiAro3k93MTMC3QxarTsFtaG4jXq,INE\Comércio Internacional\Trimestral\Comércio Externo de Bens por Categorias Produtos.xlsx
Economia e Finanças,Economia e Finanças/Contas Nacionais/Anual,Anual,CONTAS NACIONAIS ANUAL_24_03_2026.xlsx,xlsx,232363,Economia e Finanças/Contas Nacionais/Anual/CONTAS NACIONAIS ANUAL_24_03_2026.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ-mNWSHowqjx8lc7aimsPJrmykNNlvh82_4EjlTXAfPCgo1_M9qEjUUhCuBYbPJwnlxofUJIWdcKSk-mmXzymOZye5XLFDSumDv7JMg-aOnMeFq76eyQ_w_pEs4wuILh4K3KzzK54gQHiPtF4Y9DtyQ,INE\Economia e Finanças\Contas Nacionais\Anual\CONTAS NACIONAIS ANUAL_24_03_2026.xlsx
Economia e Finanças,Economia e Finanças/Contas Nacionais/Anual,Anual,CORRESPONDÊNCIAS DA NOMECLATURA DE PRODUTOS E ACTIVIDADES.xlsx,xlsx,23419,Economia e Finanças/Contas Nacionais/Anual/CORRESPONDÊNCIAS DA NOMECLATURA DE PRODUTOS E ACTIVIDADES.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ-mNWSHowqjx8lc7aimsPJrmykNNlvh82_4EjlTXAfPCgo1_M9qEjUUhCuBYbPJwnlxofUJIWdcKSk-mmXzymOZye5XLFDSumDv7JMg-aOnMeFq76eyQ_w_pEs4wuILh4K3KzzK54gQHiPtF4Y9DtyQ,INE\Economia e Finanças\Contas Nacionais\Anual\CORRESPONDÊNCIAS DA NOMECLATURA DE PRODUTOS E ACTIVIDADES.xlsx
Economia e Finanças,Economia e Finanças/Contas Nacionais/Anual,Anual,PIB Anual por Província.xlsx,xlsx,51364,Economia e Finanças/Contas Nacionais/Anual/PIB Anual por Província.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ-mNWSHowqjx8lc7aimsPJrmykNNlvh82_4EjlTXAfPCgo1_M9qEjUUhCuBYbPJwnlxofUJIWdcKSk-mmXzymOZye5XLFDSumDv7JMg-aOnMeFq76eyQ_w_pEs4wuILh4K3KzzK54gQHiPtF4Y9DtyQ,INE\Economia e Finanças\Contas Nacionais\Anual\PIB Anual por Província.xlsx
Economia e Finanças,Economia e Finanças/Contas Nacionais/Trimestral,Trimestral,CONTAS NACIONAIS TRIMESTRAIS.xlsx,xlsx,442873,Economia e Finanças/Contas Nacionais/Trimestral/CONTAS NACIONAIS TRIMESTRAIS.xlsx,https://www.ine.gov.ao/Diretorios/Ver?caminho=CfDJ8MbFyY-I7dRPifOgqdubFJ-TZauAyMQy_x4aYIaTzKKXQuCEJRxqWrq3u_0qAmETkf0YDvZZKfa7QZLARetIE8j4eOHBFI_dLojw1VciJPTidRL2NYN6fX-lCgNs-7fXDJMuyFsgzoPXgFTOF55w_dhvvve7AZlUQmK8RmQvS_9MQlI0YjqlwAWkaZLZMY7RjA,INE\Economia e Finanças\Contas Nacionais\Trimestral\CONTAS NACIONAIS TRIMESTRAIS.xlsx
