Domínio,Subdomínio,Nº,Resultado/Ação 2025,Período,Fonte URL
Social,"Educação, Saúde e Protecção Social",1,Vacinadas 14 870 424 crianças contra a Poliomielite,Anual 2025,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Social,"Educação, Saúde e Protecção Social",2,"Apoiadas com cestas básicas de alimentos e kits de higiene 1 226 famílias afectadas pela cólera nas províncias do Bengo, Cuanza Norte, Huíla, Icolo e Bengo e Namibe, no âmbito do Plano Nacional de Resposta para o Controlo da Cólera",Anual 2025,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Social,"Educação, Saúde e Protecção Social",3,"Beneficiadas mais 280 813 mil famílias no âmbito da expansão das transferências sociais e monetárias; apoiadas, por meio de transferências em espécie, 14 336 famílias; integradas em actividades de geração de rendimento 628 pessoas; assistidas 975 pessoas e/ou famílias vítimas de sinistros e calamidades; e inscritos 1 974 cidadãos no Sistema de Informação e Gestão da Acção Social",Anual 2025,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Fomento da produção nacional,Agricultura e Pescas,1,"Assegurada a operacionalização de 9 754 Escolas de Campo, produzidas um total de 357 668 toneladas de carne, e produzidos 5,5 milhões de litros de leite",Anual 2025,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Fomento da produção nacional,Agricultura e Pescas,2,"Em curso a obra de reabilitação da Estação Experimental do Café da Gabela, com níveis de execução física de 61,93%",Anual 2025,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Fomento da produção nacional,Agricultura e Pescas,3,Adquiridas 200 kg de sementes para a produção de 50 mil plantas de palmeira-de-dendê,Anual 2025,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Fomento da produção nacional,Agricultura e Pescas,4,"Produzidas 15 mil mudas de cacau, no município de Caxito, que serviram para o fomento da produção do cacau nas províncias do Bengo, Uíge, C. Norte e C. Sul; adquiridas 469 cápsulas de sementes de cacau, na República de S. Tomé, equivalente a cerca de 13 320 mudas, destinadas ao fomento da cultura de cacau na província do C. Norte",Anual 2025,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Fomento da produção nacional,Agricultura e Pescas,5,"Produzidas cerca de 82,26 mil toneladas de alevinos, que serviram para produzir 25,56 mil toneladas de tilápia, bem como a produção de 35,41 mil toneladas de ração para aquicultura; capturadas 273,34 mil toneladas de peixe nos subsectores da pesca industrial e semi-industrial; capturadas 183,02 mil toneladas de peixe no subsector da pesca marítima artesanal; e capturadas 18,65 mil toneladas de peixe no subsector da pesca continental",Anual 2025,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Infra-estruturas,"Energia e Águas, Transporte e Logística",1,"Em curso o projecto de electrificação de 60 sedes comunais, em diversas províncias, com destaque para Malanje, Bié, Moxico, Lunda Norte e Lunda Sul, bem como a manutenção das sedes municipais servidas pelo Sistema Eléctrico Público nas sedes municipais da Chicala Choloanga, Chinguar, Nharea e Conda",Anual 2025,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
Infra-estruturas,"Energia e Águas, Transporte e Logística",2,"Assegurada a operacionalização dos sistemas de distribuição de energia eléctrica, que permitiu o aumento da taxa de electrificação na ordem dos 48%, como resultado das 143 255 novas ligações",Anual 2025,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn
