ID_Implementação,Domínio,Indicador de execução,Unidade execução,2022_Base,2023,2024,Meta MINPLAN 2025,Meta MINPLAN 2025 original,2025,Diferença 2025 vs meta MINPLAN,% do alvo MINPLAN 2025,Indicador PDN equivalente,Meta PDN 2027,Meta PDN 2027 original,Tipo de correspondência,Referência/metas PDN,Páginas PDN,Diferença 2025 vs meta PDN,% do alvo PDN 2027,Observação
IMP-saude-novas_camas_em_hospitais_cumulativo,Saúde,Novas Camas em Hospitais (Cumulativo),N.º,5250,5763,7019,,NA,7304,,,,,Sem valor numérico equivalente publicado,Não comparável diretamente,Número de hospitais por 100.000 habitantes,74,,,Camas hospitalares não são o mesmo que número/densidade de hospitais; o PDN não define meta numérica de camas.
IMP-saude-taxa_de_cobertura_da_4_a_consulta_pre_natal,Saúde,Taxa de cobertura da 4.ª consulta pré-natal,%,44,70,75,56,56,60,4,107.14285714285714,,,Sem valor numérico equivalente publicado,Correspondência temática sem meta numérica,Prioridade 18.2.3 — expansão do acesso a serviços de saúde sexual e reprodutiva,76–77,,,"O PDN menciona a melhoria da oferta de consultas pré-natais, mas não publica meta quantitativa equivalente no quadro da Política de Saúde."
IMP-saude-taxa_de_imunizacao_bcg,Saúde,Taxa de imunização BCG,%,79,96,85,86,86,78,-8,90.69767441860465,,,Sem valor numérico equivalente publicado,Correspondência temática sem meta numérica,Prioridade 18.2.1 — reforço da imunização a nível nacional,76,,,"O PDN prevê fortalecer vacinação de rotina, mas não publica uma meta numérica de BCG."
IMP-saude-taxa_de_vacinacao_contra_o_sarampo,Saúde,Taxa de vacinação contra o sarampo,%,66,71,68,80,80,76,-4,95.0,,,Sem valor numérico equivalente publicado,Correspondência temática sem meta numérica,Prioridade 18.2.1 — reforço da imunização a nível nacional,76,,,"O PDN prevê fortalecer vacinação de rotina, mas não publica uma meta numérica de sarampo."
IMP-saude-taxa_de_incidencia_da_malaria,Saúde,Taxa de incidência da malária,Por 1 000 habitantes,255,266,307,215,215,298,83,138.6046511627907,,,Sem valor numérico equivalente publicado,Correspondência temática sem meta numérica,Objectivo 18.3 / Redução da incidência da malária,77,,,"A redução da incidência é explicitamente prevista, mas sem valor-base/meta numérica no quadro de metas."
IMP-saude-taxa_de_sucesso_do_tratamento_para_a_tuberculose,Saúde,Taxa de sucesso do tratamento para a tuberculose,%,70,67,74,76,76,91,15,119.73684210526316,,,Sem valor numérico equivalente publicado,Correspondência temática sem meta numérica,Objectivo 18.3 / Redução da incidência da tuberculose,77,,,"O PDN prevê diagnóstico e tratamento completos, mas não publica meta quantitativa de sucesso terapêutico."
IMP-saude-partos_institucionais_realizados_por_profissionais_qualificados,Saúde,Partos institucionais realizados por profissionais qualificados,%,34,49,51,56,56,64,8,114.28571428571428,,,Sem valor numérico equivalente publicado,Correspondência temática sem meta numérica,Prioridade 18.2.3 — serviços de saúde sexual e reprodutiva,76–77,,,"Partos institucionais são mencionados como intervenção, mas não existe meta numérica equivalente no quadro da Política de Saúde."
IMP-proteccao_social-pessoas_integradas_em_actividades_geradoras_de_renda_cumulativo,Protecção Social,Pessoas integradas em actividades geradoras de renda (cumulativo),N.º,37000,37545,38289,99000,99 000,38917,-60083,39.310101010101015,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-proteccao_social-beneficiarios_de_transferencias_sociais_monetarias_cumulativo,Protecção Social,Beneficiários de transferências sociais monetárias (cumulativo),N.º,610832,951203,1070037,1800000,1 800 000,1350850,-449150,75.04722222222222,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-proteccao_social-familias_assistidas_com_cesta_basica_de_alimentos_cumulativo,Protecção Social,Famílias assistidas com cesta básica de alimentos (cumulativo),N.º,23070,30054,90419,83000,83 000,104807,21807,126.27349397590362,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
