ID,Domínio,Indicador,Unidade,2022_Base,2023,2024,Meta_2025,2025,2022_Base_Original,2023_Original,2024_Original,Meta_2025_Original,2025_Original,Fonte,Fonte URL,Fonte Bundle URL,Estado,Observação
IMP-saude-novas_camas_em_hospitais_cumulativo,Saúde,Novas Camas em Hospitais (Cumulativo),N.º,5250,5763,7019,,7304,5 250,5 763,7 019,NA,7 304,MINSA,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn,https://www.minplan.gov.ao/_next/static/chunks/c191322d36728caa.js,Extraído do bundle JavaScript lazy,* 2022 é o ano base; Meta 2025 é a meta anual publicada no bundle.
IMP-saude-taxa_de_cobertura_da_4_a_consulta_pre_natal,Saúde,Taxa de cobertura da 4.ª consulta pré-natal,%,44,70,75,56,60,44,70,75,56,60,MINSA,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn,https://www.minplan.gov.ao/_next/static/chunks/c191322d36728caa.js,Extraído do bundle JavaScript lazy,* 2022 é o ano base; Meta 2025 é a meta anual publicada no bundle.
IMP-saude-taxa_de_imunizacao_bcg,Saúde,Taxa de imunização BCG,%,79,96,85,86,78,79,96,85,86,78,MINSA,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn,https://www.minplan.gov.ao/_next/static/chunks/c191322d36728caa.js,Extraído do bundle JavaScript lazy,* 2022 é o ano base; Meta 2025 é a meta anual publicada no bundle.
IMP-saude-taxa_de_vacinacao_contra_o_sarampo,Saúde,Taxa de vacinação contra o sarampo,%,66,71,68,80,76,66,71,68,80,76,MINSA,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn,https://www.minplan.gov.ao/_next/static/chunks/c191322d36728caa.js,Extraído do bundle JavaScript lazy,* 2022 é o ano base; Meta 2025 é a meta anual publicada no bundle.
IMP-saude-taxa_de_incidencia_da_malaria,Saúde,Taxa de incidência da malária,Por 1 000 habitantes,255,266,307,215,298,255,266,307,215,298,MINSA,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn,https://www.minplan.gov.ao/_next/static/chunks/c191322d36728caa.js,Extraído do bundle JavaScript lazy,* 2022 é o ano base; Meta 2025 é a meta anual publicada no bundle.
IMP-saude-taxa_de_sucesso_do_tratamento_para_a_tuberculose,Saúde,Taxa de sucesso do tratamento para a tuberculose,%,70,67,74,76,91,70,67,74,76,91,MINSA,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn,https://www.minplan.gov.ao/_next/static/chunks/c191322d36728caa.js,Extraído do bundle JavaScript lazy,* 2022 é o ano base; Meta 2025 é a meta anual publicada no bundle.
IMP-saude-partos_institucionais_realizados_por_profissionais_qualificados,Saúde,Partos institucionais realizados por profissionais qualificados,%,34,49,51,56,64,34,49,51,56,64,MINSA,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn,https://www.minplan.gov.ao/_next/static/chunks/c191322d36728caa.js,Extraído do bundle JavaScript lazy,* 2022 é o ano base; Meta 2025 é a meta anual publicada no bundle.
IMP-proteccao_social-pessoas_integradas_em_actividades_geradoras_de_renda_cumulativo,Protecção Social,Pessoas integradas em actividades geradoras de renda (cumulativo),N.º,37000,37545,38289,99000,38917,37 000,37 545,38 289,99 000,38 917,MASFAMU,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn,https://www.minplan.gov.ao/_next/static/chunks/c191322d36728caa.js,Extraído do bundle JavaScript lazy,* 2022 é o ano base; Meta 2025 é a meta anual publicada no bundle.
IMP-proteccao_social-beneficiarios_de_transferencias_sociais_monetarias_cumulativo,Protecção Social,Beneficiários de transferências sociais monetárias (cumulativo),N.º,610832,951203,1070037,1800000,1350850,610 832,951 203,1 070 037,1 800 000,1 350 850,MASFAMU,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn,https://www.minplan.gov.ao/_next/static/chunks/c191322d36728caa.js,Extraído do bundle JavaScript lazy,* 2022 é o ano base; Meta 2025 é a meta anual publicada no bundle.
IMP-proteccao_social-familias_assistidas_com_cesta_basica_de_alimentos_cumulativo,Protecção Social,Famílias assistidas com cesta básica de alimentos (cumulativo),N.º,23070,30054,90419,83000,104807,23 070,30 054,90 419,83 000,104 807,MASFAMU,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn,https://www.minplan.gov.ao/_next/static/chunks/c191322d36728caa.js,Extraído do bundle JavaScript lazy,* 2022 é o ano base; Meta 2025 é a meta anual publicada no bundle.
IMP-comunicacao-numero_de_assinantes_de_internet,Comunicação,Número de assinantes de Internet,N.º/100 habitantes,30,33,36,42,50,30,33,36,42,50,MINTTICS,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn,https://www.minplan.gov.ao/_next/static/chunks/c191322d36728caa.js,Extraído do bundle JavaScript lazy,* 2022 é o ano base; Meta 2025 é a meta anual publicada no bundle.
IMP-comunicacao-numero_de_assinantes_de_servicos_moveis,Comunicação,Número de assinantes de serviços móveis,N.º/100 habitantes,72,75,75,79,78,72,75,75,79,78,MINTTICS,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn,https://www.minplan.gov.ao/_next/static/chunks/c191322d36728caa.js,Extraído do bundle JavaScript lazy,* 2022 é o ano base; Meta 2025 é a meta anual publicada no bundle.
IMP-educacao_e_formacao_profissional-salas_de_aula_do_ensino_primario_cumulativo,Educação e Formação Profissional,Salas de aula do Ensino Primário (cumulativo),N.º,60004,62395,61516,60018,65388,60 004,62 395,61 516,60 018,65 388,MED,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn,https://www.minplan.gov.ao/_next/static/chunks/c191322d36728caa.js,Extraído do bundle JavaScript lazy,* 2022 é o ano base; Meta 2025 é a meta anual publicada no bundle.
IMP-educacao_e_formacao_profissional-salas_de_aula_do_i_ciclo_do_ensino_secundario_cumulativo,Educação e Formação Profissional,Salas de aula do I Ciclo do Ensino Secundário (cumulativo),N.º,29323,36255,42192,16286,48972,29 323,36 255,42 192,16 286,48 972,MED,https://www.minplan.gov.ao/en/publicacoes/relatorios-balanco-pdn,https://www.minplan.gov.ao/_next/static/chunks/c191322d36728caa.js,Extraído do bundle JavaScript lazy,* 2022 é o ano base; Meta 2025 é a meta anual publicada no bundle.
