ID,Domínio,Indicador,Unidade,Direcção,Método,M_2022,M_2023,M_2024,M_2025,M_2026,M_2027,Origem_Meta_2027
IMP-saude-taxa_de_cobertura_da_4_a_consulta_pre_natal,Saúde,Taxa de cobertura da 4.ª consulta pré-natal,%,Maior é melhor,Linear,44.0,48.0,52.0,56.0,60.0,64.0,Derivada: extensão linear da trajectória planeada 2022-2025
IMP-saude-taxa_de_imunizacao_bcg,Saúde,Taxa de imunização BCG,%,Maior é melhor,Linear,79.0,81.33333333333333,83.66666666666667,86.0,88.33333333333334,90.66666666666667,Derivada: extensão linear da trajectória planeada 2022-2025
IMP-saude-taxa_de_vacinacao_contra_o_sarampo,Saúde,Taxa de vacinação contra o sarampo,%,Maior é melhor,Linear,66.0,70.66666666666667,75.33333333333333,80.0,84.66666666666666,89.33333333333333,Derivada: extensão linear da trajectória planeada 2022-2025
IMP-saude-taxa_de_incidencia_da_malaria,Saúde,Taxa de incidência da malária,Por 1 000 habitantes,Menor é melhor,Linear,255.0,241.66666666666666,228.33333333333334,215.0,201.66666666666666,188.33333333333331,Derivada: extensão linear da trajectória planeada 2022-2025
IMP-saude-taxa_de_sucesso_do_tratamento_para_a_tuberculose,Saúde,Taxa de sucesso do tratamento para a tuberculose,%,Maior é melhor,Linear,70.0,72.0,74.0,76.0,78.0,80.0,Derivada: extensão linear da trajectória planeada 2022-2025
IMP-saude-partos_institucionais_realizados_por_profissionais_qualificados,Saúde,Partos institucionais realizados por profissionais qualificados,%,Maior é melhor,Linear,34.0,41.333333333333336,48.666666666666664,56.0,63.33333333333333,70.66666666666666,Derivada: extensão linear da trajectória planeada 2022-2025
IMP-proteccao_social-pessoas_integradas_em_actividades_geradoras_de_renda_cumulativo,Protecção Social,Pessoas integradas em actividades geradoras de renda (cumulativo),N.º,Maior é melhor,Linear,37000.0,57666.66666666667,78333.33333333334,99000.0,119666.66666666666,140333.3333333333,Derivada: extensão linear da trajectória planeada 2022-2025
IMP-proteccao_social-beneficiarios_de_transferencias_sociais_monetarias_cumulativo,Protecção Social,Beneficiários de transferências sociais monetárias (cumulativo),N.º,Maior é melhor,Linear,610832.0,1007221.3333333333,1403610.6666666665,1800000.0,2196389.3333333335,2592778.666666667,Derivada: extensão linear da trajectória planeada 2022-2025
IMP-proteccao_social-familias_assistidas_com_cesta_basica_de_alimentos_cumulativo,Protecção Social,Famílias assistidas com cesta básica de alimentos (cumulativo),N.º,Maior é melhor,Linear,23070.0,43046.66666666667,63023.333333333336,83000.0,102976.66666666666,122953.33333333333,Derivada: extensão linear da trajectória planeada 2022-2025
IMP-comunicacao-numero_de_assinantes_de_internet,Comunicação,Número de assinantes de Internet,N.º/100 habitantes,Maior é melhor,Linear,30.0,34.0,38.0,42.0,46.0,50.0,Derivada: extensão linear da trajectória planeada 2022-2025
