ID_Meta,Eixo/Política,Domínio/Grupo,Indicador PDN,Unidade,Valor_2022_Base,Valor_2022_Original,Meta_2027,Meta_2027_Original,Meta_2050,Meta_2050_Original,Página PDF,Notas
PDN-META-001,Modernização do Estado,Administração Pública,% de funcionários públicos que beneficiaram de formação nos últimos 5 anos,%,11.2,"11,2%",36.2,"36,2%",,-,30,
PDN-META-002,Modernização do Estado,Administração Pública,% de capacidade de atendimento ao cidadão da rede SIAC,%,13.5,"13,5%",19.3,"19,3%",,-,30,
PDN-META-003,Modernização do Estado,Reforma do Estado,Classificação no indicador Direitos Fundamentais — Projecto de Justiça Mundial,Índice (0–1),0.38,"0,38",0.4,"0,4",0.5,"0,5",30,
PDN-META-004,Modernização do Estado,Reforma do Estado,Classificação no indicador Governo Aberto — Projecto de Justiça Mundial,Índice (0–1),0.38,"0,38",0.41,"0,41",0.51,"0,51",30,
PDN-META-005,Modernização do Estado,Reforma do Estado,Classificação no indicador Democraticidade Eleitoral — Índice Ibrahim,%,27.7,"27,7%",33.7,"33,7%",71.8,"71,8%",30,
PDN-META-006,Modernização do Estado,Reforma do Estado,Pontuação no indicador Estado de Direito — Banco Mundial,%,17.3,"17,3%",22.0,22%,54.8,"54,8%",30,
PDN-META-007,Modernização do Estado,Reforma do Estado,Pontuação no indicador Estabilidade Política — Banco Mundial,%,20.8,"20,8%",25.8,"25,8%",59.2,"59,2%",30,
PDN-META-008,Modernização do Estado,Reforma do Estado,Pontuação no indicador Eficiência do Governo — Banco Mundial,%,13.0,13%,17.5,"17,5%",55.2,"55,2%",30,
PDN-META-009,Modernização do Estado,Reforma do Estado,Pontuação no indicador Qualidade Regulatória — Banco Mundial,%,27.4,"27,4%",33.5,"33,5%",72.4,"72,4%",30,
PDN-META-010,Modernização do Estado,Reforma do Estado,Pontuação no indicador Voz e Participação — Banco Mundial,%,24.7,"24,7%",29.5,"29,5%",60.6,"60,6%",30,
PDN-META-011,Modernização do Estado,Reforma do Estado,Pontuação no indicador Controlo da Corrupção — Banco Mundial,%,27.9,"27,9%",35.3,"35,3%",63.3,"63,3%",30,
PDN-META-012,Modernização do Estado,Reforma do Estado,Pontuação no indicador Capacidade de Gestão — Bertelsmann,Pontos (0–10),4.3,"4,3",4.7,"4,7",6.5,"6,5",30,
PDN-META-013,Modernização do Estado,Reforma do Estado,Pontuação no indicador Eficiência de Recursos — BTI Project,Pontos (0–10),4.0,4,4.3,"4,3",6.5,"6,5",30,
PDN-META-014,Modernização do Estado,Reforma do Estado,Pontuação no indicador Serviços Públicos Online — UNDESA,Índice (0–1),0.47,"0,47",0.49,"0,49",0.77,"0,77",30,
PDN-META-015,Ordenamento do Território,Habitação e território,Défice habitacional,% de agregados familiares,32.0,32%,31.4,"31,4%",23.0,23%,48,
PDN-META-016,Ordenamento do Território,Habitação e território,% da população urbana a viver em assentamentos informais,%,49.0,49%,44.5,"44,5%",33.0,33%,48,
PDN-META-017,Ordenamento do Território,Habitação e território,% de títulos de propriedade para uso habitacional,% do total de propriedades,10.0,10%,35.0,35%,77.0,77%,48,
PDN-META-018,Ordenamento do Território,Habitação e território,Volume de investimento na reabilitação e manutenção da rede principal,"Biliões de Kz, cumulativo",,-,1.0,1,10.2,"10,2",48,
PDN-META-019,Ordenamento do Território,Habitação e território,Volume de investimento na reabilitação e manutenção da rede complementar,"Biliões de Kz, cumulativo",,-,1.2,"1,2",12.2,"12,2",48,
PDN-META-020,"Educação, Juventude, Emprego e Inovação",Educação,Anos de escolaridade ajustados à aprendizagem,Anos,4.2,"4,2",4.6,"4,6",6.3,"6,3",55,
PDN-META-021,"Educação, Juventude, Emprego e Inovação",Educação,Desempenho em Testes Harmonizados — componente Educação do Índice de Capital Humano,Pontuação,326,326,337,337,380,380,55,2022: 4.º quartil; 2050: 3.º quartil.
PDN-META-022,"Educação, Juventude, Emprego e Inovação",Educação,Taxa de alfabetização (>=15 anos),%,76.0,76%,78.0,78%,90.0,90%,55,
PDN-META-023,"Educação, Juventude, Emprego e Inovação",Educação,Taxa líquida de escolarização da 2.ª etapa do pré-escolar (3–5 anos),%,19.0,19%,23.0,23%,46.0,46%,55,
PDN-META-024,"Educação, Juventude, Emprego e Inovação",Educação,Taxa líquida de escolarização na classe de iniciação (5 anos),%,48.0,48%,58.0,58%,90.0,90%,55,
PDN-META-025,"Educação, Juventude, Emprego e Inovação",Educação,Taxa líquida de escolarização no ensino primário (1.ª–6.ª classes),%,64.0,64%,70.0,70%,90.0,90%,55,
PDN-META-026,"Educação, Juventude, Emprego e Inovação",Educação,Taxa líquida de escolarização no 1.º ciclo do ensino secundário (7.ª–9.ª classes),%,23.0,23%,27.0,27%,75.0,75%,55,
PDN-META-027,"Educação, Juventude, Emprego e Inovação",Educação,% da população entre 15–18 anos a frequentar o 2.º ciclo do ensino secundário,%,25.0,25%,29.0,29%,50.0,50%,55,
PDN-META-028,Saúde,Saúde,Esperança média de vida,Anos,62,62,63,63,68,68,74,
PDN-META-029,Saúde,Saúde,Esperança de vida saudável (HALE),Anos,56,56,57,57,60,60,74,
PDN-META-030,Saúde,Saúde,Taxa de fecundidade,Filhos por mulher,5.4,"5,4",4.6,"4,6",3.2,"3,2",74,
PDN-META-031,Saúde,Saúde,Taxa de mortalidade de menores de 5 anos,Por 1.000 nados-vivos,69,69,51,51,17,17,74,
PDN-META-032,Saúde,Saúde,Taxa de mortalidade de menores de 1 ano,Por 1.000 nados-vivos,47,47,37,37,14,14,74,
PDN-META-033,Saúde,Saúde,Taxa de mortalidade materna,Por 100.000 nascimentos,199,199,165,165,70,70,74,
PDN-META-034,Saúde,Saúde,Gastos correntes com a saúde,% do PIB,3.0,3%,4.0,4%,7.0,7%,74,
PDN-META-035,Saúde,Saúde,Número de médicos por 10.000 habitantes,Por 10.000 habitantes,1.8,"1,8",2.8,"2,8",10.0,10,74,
PDN-META-036,Saúde,Saúde,Número de enfermeiros e parteiras por 10.000 habitantes,Por 10.000 habitantes,14.1,"14,1",20.6,"20,6",22.0,22,74,
PDN-META-037,Saúde,Saúde,Número de hospitais por 100.000 habitantes,Por 100.000 habitantes,0.7,"0,7",0.8,"0,8",0.9,"0,9",74,
PDN-META-038,Saúde,Saúde,Número de centros médicos por 100.000 habitantes,Por 100.000 habitantes,2.3,"2,3",2.5,"2,5",3.5,"3,5",74,
PDN-META-039,Cultura,Cultura,% de exportações de bens culturais e criativos,% do total das exportações,0.01,"0,010%",0.016,"0,016%",0.11,"0,110%",82,
PDN-META-040,Cultura,Cultura,% da população entre 15–64 anos empregada no sector cultural e criativo,%,,-,0.3,"0,3%",2.5,"2,5%",82,
PDN-META-041,Desporto,Desporto,Classificação no Ranking Mundial de Desporto de Alta Competição,Posição no ranking,123,123,118,118,100,100,87,
PDN-META-042,Desporto,Desporto,% da população envolvida na prática de desporto de recreação,%,36.0,36%,37.8,"37,8%",47.0,47%,87,
PDN-META-043,Desporto,Desporto,Número de medalhas olímpicas ganhas,N.º,0,0,0,0,7,7,87,
PDN-META-044,Desporto,Desporto,Número de medalhas de Jogos Paralímpicos ganhas,"N.º, cumulativo",8,8,9,9,16,16,87,
PDN-META-045,Desporto,Desporto,Classificação nos Jogos Africanos,Posição no ranking,16,16,13,13,5,5,87,
PDN-META-046,Desporto,Desporto,Classificação no ranking da SADC (Região 5),Posição no ranking,2,2,2,2,1,1,87,
PDN-META-047,Desporto,Desporto,Classificação no ranking da CPLP,Posição no ranking,3,3,3,3,3,3,87,
PDN-META-048,Desporto,Desporto,Número de monitores desportivos,"N.º, anual",7067,7.067,8800,8.800,15000,15.000,87,
PDN-META-049,Desporto,Desporto,Número de atletas federados,"N.º, anual",63091,63.091,69500,69.500,110000,110.000,87,
