ID_Meta,Eixo/Política,Domínio/Grupo,Indicador,Unidade,Método,T_2022,T_2023,T_2024,T_2025,T_2026,T_2027
PDN-META-001,Modernização do Estado,Administração Pública,% de funcionários públicos que beneficiaram de formação nos últimos 5 anos,%,Linear,11.2,16.2,21.200000000000003,26.200000000000003,31.200000000000003,36.2
PDN-META-002,Modernização do Estado,Administração Pública,% de capacidade de atendimento ao cidadão da rede SIAC,%,Linear,13.5,14.66,15.82,16.98,18.14,19.3
PDN-META-003,Modernização do Estado,Reforma do Estado,Classificação no indicador Direitos Fundamentais — Projecto de Justiça Mundial,Índice (0–1),Geométrica,0.38,0.38391835454081574,0.38787711303507233,0.3918766921064919,0.39591751267479536,0.39999999999999997
PDN-META-004,Modernização do Estado,Reforma do Estado,Classificação no indicador Governo Aberto — Projecto de Justiça Mundial,Índice (0–1),Geométrica,0.38,0.3858190333894939,0.3917271750673774,0.39772578957077015,0.40381626233228374,0.41000000000000003
PDN-META-005,Modernização do Estado,Reforma do Estado,Classificação no indicador Democraticidade Eleitoral — Índice Ibrahim,%,Linear,27.7,28.9,30.1,31.3,32.5,33.7
PDN-META-006,Modernização do Estado,Reforma do Estado,Pontuação no indicador Estado de Direito — Banco Mundial,%,Linear,17.3,18.240000000000002,19.18,20.12,21.06,22.0
PDN-META-007,Modernização do Estado,Reforma do Estado,Pontuação no indicador Estabilidade Política — Banco Mundial,%,Linear,20.8,21.8,22.8,23.8,24.8,25.8
PDN-META-008,Modernização do Estado,Reforma do Estado,Pontuação no indicador Eficiência do Governo — Banco Mundial,%,Linear,13.0,13.9,14.8,15.7,16.6,17.5
PDN-META-009,Modernização do Estado,Reforma do Estado,Pontuação no indicador Qualidade Regulatória — Banco Mundial,%,Linear,27.4,28.619999999999997,29.84,31.06,32.28,33.5
PDN-META-010,Modernização do Estado,Reforma do Estado,Pontuação no indicador Voz e Participação — Banco Mundial,%,Linear,24.7,25.66,26.62,27.58,28.54,29.5
PDN-META-011,Modernização do Estado,Reforma do Estado,Pontuação no indicador Controlo da Corrupção — Banco Mundial,%,Linear,27.9,29.38,30.86,32.339999999999996,33.82,35.3
PDN-META-012,Modernização do Estado,Reforma do Estado,Pontuação no indicador Capacidade de Gestão — Bertelsmann,Pontos (0–10),Geométrica,4.3,4.377179293006939,4.4557438518904,4.535718540334333,4.617128668292813,4.7
PDN-META-013,Modernização do Estado,Reforma do Estado,Pontuação no indicador Eficiência de Recursos — BTI Project,Pontos (0–10),Geométrica,4.0,4.058276976198625,4.117403003885964,4.177390453100367,4.23825187410229,4.3
PDN-META-014,Modernização do Estado,Reforma do Estado,Pontuação no indicador Serviços Públicos Online — UNDESA,Índice (0–1),Geométrica,0.47,0.47393360307585813,0.4779001279243938,0.48189985008004566,0.48593304738330195,0.49
PDN-META-015,Ordenamento do Território,Habitação e território,Défice habitacional,% de agregados familiares,Linear,32.0,31.88,31.759999999999998,31.64,31.52,31.4
PDN-META-016,Ordenamento do Território,Habitação e território,% da população urbana a viver em assentamentos informais,%,Linear,49.0,48.1,47.2,46.3,45.4,44.5
PDN-META-017,Ordenamento do Território,Habitação e território,% de títulos de propriedade para uso habitacional,% do total de propriedades,Linear,10.0,15.0,20.0,25.0,30.0,35.0
PDN-META-020,"Educação, Juventude, Emprego e Inovação",Educação,Anos de escolaridade ajustados à aprendizagem,Anos,Geométrica,4.2,4.277115701624679,4.355647315496277,4.435620839011549,4.517062746902363,4.6
PDN-META-021,"Educação, Juventude, Emprego e Inovação",Educação,Desempenho em Testes Harmonizados — componente Educação do Índice de Capital Humano,Pontuação,Geométrica,326.0,328.1708940557614,330.3562444949624,332.5561475853237,334.7707002356301,337.0
PDN-META-022,"Educação, Juventude, Emprego e Inovação",Educação,Taxa de alfabetização (>=15 anos),%,Linear,76.0,76.4,76.8,77.2,77.6,78.0
PDN-META-023,"Educação, Juventude, Emprego e Inovação",Educação,Taxa líquida de escolarização da 2.ª etapa do pré-escolar (3–5 anos),%,Linear,19.0,19.8,20.6,21.4,22.2,23.0
PDN-META-024,"Educação, Juventude, Emprego e Inovação",Educação,Taxa líquida de escolarização na classe de iniciação (5 anos),%,Linear,48.0,50.0,52.0,54.0,56.0,58.0
PDN-META-025,"Educação, Juventude, Emprego e Inovação",Educação,Taxa líquida de escolarização no ensino primário (1.ª–6.ª classes),%,Linear,64.0,65.2,66.4,67.6,68.8,70.0
PDN-META-026,"Educação, Juventude, Emprego e Inovação",Educação,Taxa líquida de escolarização no 1.º ciclo do ensino secundário (7.ª–9.ª classes),%,Linear,23.0,23.8,24.6,25.4,26.2,27.0
PDN-META-027,"Educação, Juventude, Emprego e Inovação",Educação,% da população entre 15–18 anos a frequentar o 2.º ciclo do ensino secundário,%,Linear,25.0,25.8,26.6,27.4,28.2,29.0
PDN-META-028,Saúde,Saúde,Esperança média de vida,Anos,Geométrica,62.0,62.19872202513606,62.39808099290558,62.59807894483321,62.79871792898715,63.0
PDN-META-029,Saúde,Saúde,Esperança de vida saudável (HALE),Anos,Geométrica,56.0,56.19858654592737,56.397877317144435,56.597874810966715,56.798581533565624,57.0
PDN-META-030,Saúde,Saúde,Taxa de fecundidade,Filhos por mulher,Linear,5.4,5.24,5.08,4.92,4.76,4.6
PDN-META-031,Saúde,Saúde,Taxa de mortalidade de menores de 5 anos,Por 1.000 nados-vivos,Linear,69.0,65.4,61.8,58.2,54.6,51.0
PDN-META-032,Saúde,Saúde,Taxa de mortalidade de menores de 1 ano,Por 1.000 nados-vivos,Linear,47.0,45.0,43.0,41.0,39.0,37.0
PDN-META-033,Saúde,Saúde,Taxa de mortalidade materna,Por 100.000 nascimentos,Linear,199.0,192.2,185.4,178.6,171.8,165.0
