ID,Domínio,Indicador,Unidade,Direcção,Método,Ano_partida,Valor_partida,S_2023,S_2024,S_2025,S_2026,S_2027,Meta_2027,Origem_Meta_2027,Estado
IMP-saude-taxa_de_cobertura_da_4_a_consulta_pre_natal,Saúde,Taxa de cobertura da 4.ª consulta pré-natal,%,Maior é melhor,Linear,2025,60.0,,,60.0,62.0,64.0,64.0,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-saude-taxa_de_imunizacao_bcg,Saúde,Taxa de imunização BCG,%,Maior é melhor,Linear,2025,78.0,,,78.0,84.33333333333334,90.66666666666667,90.66666666666667,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-saude-taxa_de_vacinacao_contra_o_sarampo,Saúde,Taxa de vacinação contra o sarampo,%,Maior é melhor,Linear,2025,76.0,,,76.0,82.66666666666666,89.33333333333333,89.33333333333333,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-saude-taxa_de_incidencia_da_malaria,Saúde,Taxa de incidência da malária,Por 1 000 habitantes,Menor é melhor,Linear,2025,298.0,,,298.0,243.16666666666666,188.33333333333331,188.33333333333331,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-saude-taxa_de_sucesso_do_tratamento_para_a_tuberculose,Saúde,Taxa de sucesso do tratamento para a tuberculose,%,Maior é melhor,Linear,2025,91.0,,,91.0,85.5,80.0,80.0,Derivada: extensão linear da trajectória planeada 2022-2025,Meta 2027 já atingida
IMP-saude-partos_institucionais_realizados_por_profissionais_qualificados,Saúde,Partos institucionais realizados por profissionais qualificados,%,Maior é melhor,Linear,2025,64.0,,,64.0,67.33333333333333,70.66666666666666,70.66666666666666,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-proteccao_social-pessoas_integradas_em_actividades_geradoras_de_renda_cumulativo,Protecção Social,Pessoas integradas em actividades geradoras de renda (cumulativo),N.º,Maior é melhor,Linear,2025,38917.0,,,38917.0,89625.16666666666,140333.3333333333,140333.3333333333,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-proteccao_social-beneficiarios_de_transferencias_sociais_monetarias_cumulativo,Protecção Social,Beneficiários de transferências sociais monetárias (cumulativo),N.º,Maior é melhor,Linear,2025,1350850.0,,,1350850.0,1971814.3333333335,2592778.666666667,2592778.666666667,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-proteccao_social-familias_assistidas_com_cesta_basica_de_alimentos_cumulativo,Protecção Social,Famílias assistidas com cesta básica de alimentos (cumulativo),N.º,Maior é melhor,Linear,2025,104807.0,,,104807.0,113880.16666666666,122953.33333333333,122953.33333333333,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-comunicacao-numero_de_assinantes_de_internet,Comunicação,Número de assinantes de Internet,N.º/100 habitantes,Maior é melhor,Linear,2025,50.0,,,50.0,50.0,50.0,50.0,Derivada: extensão linear da trajectória planeada 2022-2025,Meta 2027 já atingida
IMP-comunicacao-numero_de_assinantes_de_servicos_moveis,Comunicação,Número de assinantes de serviços móveis,N.º/100 habitantes,Maior é melhor,Linear,2025,78.0,,,78.0,80.83333333333334,83.66666666666667,83.66666666666667,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-educacao_e_formacao_profissional-salas_de_aula_do_ensino_primario_cumulativo,Educação e Formação Profissional,Salas de aula do Ensino Primário (cumulativo),N.º,Maior é melhor,Linear,2025,65388.0,,,65388.0,62707.66666666667,60027.333333333336,60027.333333333336,Derivada: extensão linear da trajectória planeada 2022-2025,Meta 2027 já atingida
IMP-educacao_e_formacao_profissional-salas_de_aula_do_i_ciclo_do_ensino_secundario_cumulativo,Educação e Formação Profissional,Salas de aula do I Ciclo do Ensino Secundário (cumulativo),N.º,Maior é melhor,Linear,2025,48972.0,,,48972.0,32629.0,16286.0,16286.0,Derivada: Meta MINPLAN 2025 mantida constante até 2027,Meta 2027 já atingida
IMP-educacao_e_formacao_profissional-salas_de_aula_do_ii_ciclo_do_ensino_secundario_cumulativo,Educação e Formação Profissional,Salas de aula do II Ciclo do Ensino Secundário (cumulativo),N.º,Maior é melhor,Linear,2025,24435.0,,,24435.0,17788.0,11141.0,11141.0,Derivada: Meta MINPLAN 2025 mantida constante até 2027,Meta 2027 já atingida
IMP-educacao_e_formacao_profissional-taxa_de_alfabetizacao_da_populacao_maior_que_15_anos,Educação e Formação Profissional,Taxa de alfabetização da população maior que 15 anos,%,Maior é melhor,Linear,2025,76.0,,,76.0,77.0,78.0,78.0,Meta PDN 2027 publicada (p. 55),Em curso
IMP-educacao_e_formacao_profissional-taxa_de_conclusao_do_ensino_primario,Educação e Formação Profissional,Taxa de conclusão do Ensino Primário,%,Maior é melhor,Linear,2025,58.0,,,58.0,66.16666666666666,74.33333333333333,74.33333333333333,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-educacao_e_formacao_profissional-taxa_de_conclusao_do_i_ciclo_do_ensino_secundario_ensino_geral,Educação e Formação Profissional,Taxa de conclusão do I Ciclo do Ensino Secundário (Ensino Geral),%,Maior é melhor,Linear,2025,45.0,,,45.0,52.833333333333336,60.66666666666667,60.66666666666667,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-educacao_e_formacao_profissional-taxa_de_conclusao_do_ii_ciclo_do_ensino_secundario_ensino_geral,Educação e Formação Profissional,Taxa de conclusão do II Ciclo do Ensino Secundário (Ensino Geral),%,Maior é melhor,Linear,2025,10.0,,,10.0,18.333333333333332,26.666666666666664,26.666666666666664,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-educacao_e_formacao_profissional-professores_de_ensino_pre_escolar_com_a_qualificacao_minima_exigida_cumulativo,Educação e Formação Profissional,Professores de Ensino Pré-escolar com a qualificação mínima exigida (cumulativo),%,Maior é melhor,Linear,2023,80.0,80.0,76.25,72.5,68.75,65.0,65.0,Derivada: Meta MINPLAN 2025 mantida constante até 2027,Meta 2027 já atingida
IMP-educacao_e_formacao_profissional-professores_de_ensino_primario_com_a_qualificacao_minima_exigida_cumulativo,Educação e Formação Profissional,Professores de Ensino Primário com a qualificação mínima exigida (cumulativo),%,Maior é melhor,Linear,2023,82.0,82.0,79.0,76.0,73.0,70.0,70.0,Derivada: Meta MINPLAN 2025 mantida constante até 2027,Meta 2027 já atingida
IMP-educacao_e_formacao_profissional-professores_de_ensino_secundario_com_a_qualificacao_minima_exigida_cumulativo,Educação e Formação Profissional,Professores de Ensino Secundário com a qualificação mínima exigida (cumulativo),%,Maior é melhor,Linear,2023,84.0,84.0,83.0,82.0,81.0,80.0,80.0,Derivada: Meta MINPLAN 2025 mantida constante até 2027,Meta 2027 já atingida
IMP-educacao_e_formacao_profissional-numero_de_pessoas_formadas_pelo_snefp_cumulativo,Educação e Formação Profissional,Número de pessoas formadas pelo SNEFP (cumulativo),N.º,Maior é melhor,Linear,2025,524016.0,,,524016.0,522776.6666666666,521537.3333333333,521537.3333333333,Derivada: extensão linear da trajectória planeada 2022-2025,Meta 2027 já atingida
IMP-educacao_e_formacao_profissional-kits_profissionais_distribuidos_cumulativo,Educação e Formação Profissional,Kits profissionais distribuídos (cumulativo),N.º,Maior é melhor,Linear,2025,28070.0,,,28070.0,28524.0,28978.0,28978.0,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-educacao_e_formacao_profissional-estudantes_matriculados_no_ensino_superior_cumulativo,Educação e Formação Profissional,Estudantes matriculados no Ensino Superior (cumulativo),N.º,Maior é melhor,Linear,2025,329548.0,,,329548.0,401108.3333333333,472668.6666666666,472668.6666666666,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-infraestruturas_habitacao_e_servicos_comunitarios-estradas_nacionais_reabilitadas_cumulativo,"Infraestruturas, Habitação e Serviços Comunitários",Estradas Nacionais reabilitadas (cumulativo),Km,Maior é melhor,Linear,2025,10338.64,,,10338.64,10697.986666666668,11057.333333333334,11057.333333333334,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-infraestruturas_habitacao_e_servicos_comunitarios-equipamentos_sociais_construidos_ou_reabilitados_cumulativo,"Infraestruturas, Habitação e Serviços Comunitários",Equipamentos sociais construídos ou reabilitados (cumulativo),N.º,Maior é melhor,Linear,2025,204.0,,,204.0,719.1666666666666,1234.3333333333333,1234.3333333333333,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-infraestruturas_habitacao_e_servicos_comunitarios-construcao_e_reabilitacao_de_pontes_cumulativo,"Infraestruturas, Habitação e Serviços Comunitários",Construção e reabilitação de pontes (cumulativo),M,Maior é melhor,Linear,2025,5950.5,,,5950.5,10100.25,14250.0,14250.0,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-infraestruturas_habitacao_e_servicos_comunitarios-taxa_de_electrificacao,"Infraestruturas, Habitação e Serviços Comunitários",Taxa de electrificação,% da população,Maior é melhor,Linear,2025,48.0,,,48.0,48.5,49.0,49.0,Meta PDN 2027 publicada (p. 104),Em curso
IMP-infraestruturas_habitacao_e_servicos_comunitarios-numero_de_ligacoes_cumulativo,"Infraestruturas, Habitação e Serviços Comunitários",Número de ligações (cumulativo),Milhões,Maior é melhor,Linear,2025,2.0,,,2.0,2.8333333333333335,3.666666666666667,3.666666666666667,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-infraestruturas_habitacao_e_servicos_comunitarios-numero_de_sedes_municipais_com_distribuicao_de_energia_pela_ende,"Infraestruturas, Habitação e Serviços Comunitários",Número de sedes municipais com distribuição de energia pela ENDE,N.º,Maior é melhor,Geométrica (CAGR),2025,96.0,,,96.0,97.2354103002287,98.48671891931065,98.48671891931065,Derivada: extensão geométrica da trajectória planeada 2022-2025,Em curso
IMP-infraestruturas_habitacao_e_servicos_comunitarios-de_producao_total_de_energia_de_fontes_renovaveis,"Infraestruturas, Habitação e Serviços Comunitários",% de produção total de energia de fontes renováveis,%,Maior é melhor,Linear,2025,66.0,,,66.0,69.5,73.0,73.0,Meta PDN 2027 publicada (p. 104),Em curso
IMP-infraestruturas_habitacao_e_servicos_comunitarios-potencia_instalada_proveniente_de_fontes_renovaveis,"Infraestruturas, Habitação e Serviços Comunitários",Potência instalada proveniente de fontes renováveis,GW,Maior é melhor,Geométrica (CAGR),2025,4.0,,,4.0,4.0,4.0,4.0,Derivada: Meta MINPLAN 2025 mantida constante até 2027,Meta 2027 já atingida
IMP-infraestruturas_habitacao_e_servicos_comunitarios-quantidade_de_agua_tratada_cumulativo,"Infraestruturas, Habitação e Serviços Comunitários",Quantidade de água tratada (cumulativo),Mm³/d,Maior é melhor,Linear,2025,1325.0,,,1325.0,1580.8333333333333,1836.6666666666665,1836.6666666666665,Derivada: extensão linear da trajectória planeada 2022-2025,Em curso
IMP-fomento_a_producao-toneladas_de_carne_produzidas,Fomento à Produção,Toneladas de carne produzidas,Toneladas,Maior é melhor,Geométrica (CAGR),2025,357668.0,,,357668.0,530888.2971021305,788000.0,788000.0,Meta PDN 2027 publicada (p. 138): 788 mil t convertidas para toneladas,Em curso
IMP-fomento_a_producao-toneladas_de_raizes_e_tuberculos_produzidas,Fomento à Produção,Toneladas de raízes e tubérculos produzidas,Toneladas,Maior é melhor,Geométrica (CAGR),2025,16131827.0,,,16131827.0,18421673.657365397,21036554.653014213,21036554.653014213,Derivada: extensão geométrica da trajectória planeada 2022-2025,Em curso
